ListingID,Neighbourhood,Walking time (mins),rank
15147978,Yau Tsim Mong,19.2,75.0
15156202,Yau Tsim Mong,32.0,138.0
15166783,Yau Tsim Mong,25.4,106.0
15173029,Yau Tsim Mong,20.2,80.0
15207005,Yau Tsim Mong,16.0,59.0
15207127,Yau Tsim Mong,15.4,56.0
15207391,Yau Tsim Mong,16.0,59.0
15222842,Yau Tsim Mong,30.6,131.0
15224402,Yau Tsim Mong,10.0,29.0
15233194,Yau Tsim Mong,21.4,86.0
15291051,Yau Tsim Mong,14.0,49.0
15293648,Yau Tsim Mong,12.0,39.0
15353279,Yau Tsim Mong,6.0,9.0
15354555,Yau Tsim Mong,4.8,3.0
15364105,Yau Tsim Mong,32.4,140.0
15386686,Yau Tsim Mong,15.6,57.0
15413246,Yau Tsim Mong,4.6,2.0
15415560,Yau Tsim Mong,6.2,10.0
15417014,Yau Tsim Mong,22.2,90.0
15429713,Yau Tsim Mong,22.8,93.0
15437631,Yau Tsim Mong,8.6,22.0
15439215,Yau Tsim Mong,24.8,103.0
15442631,Yau Tsim Mong,22.8,93.0
15452080,Yau Tsim Mong,6.2,10.0
15456164,Yau Tsim Mong,35.4,155.0
15456335,Yau Tsim Mong,35.0,153.0
15462873,Yau Tsim Mong,6.8,13.0
15463067,Yau Tsim Mong,5.8,8.0
15472089,Yau Tsim Mong,34.4,150.0
15487262,Yau Tsim Mong,36.4,160.0
15487280,Yau Tsim Mong,6.6,12.0
15487486,Yau Tsim Mong,36.0,158.0
15487604,Yau Tsim Mong,31.4,135.0
15488401,Yau Tsim Mong,35.4,155.0
15490756,Yau Tsim Mong,9.2,25.0
15517592,Yau Tsim Mong,25.0,104.0
15527609,Yau Tsim Mong,26.6,112.0
15558322,Yau Tsim Mong,32.4,140.0
15573688,Yau Tsim Mong,13.2,45.0
15576419,Yau Tsim Mong,44.6,196.0
15594427,Yau Tsim Mong,24.4,101.0
15634936,Yau Tsim Mong,33.2,144.0
15657910,Yau Tsim Mong,16.0,59.0
15668325,Yau Tsim Mong,13.0,44.0
15735845,Yau Tsim Mong,33.4,145.0
15738706,Yau Tsim Mong,15.6,57.0
15747222,Yau Tsim Mong,32.4,140.0
15751744,Yau Tsim Mong,36.2,159.0
15759838,Yau Tsim Mong,7.8,18.0
15791336,Yau Tsim Mong,36.6,161.0
15849614,Yau Tsim Mong,31.0,133.0
15865015,Yau Tsim Mong,34.4,150.0
